"Season","Forest","Kingdom","Phylum","Class","Order","Family","MeanRelFreq"
"Season","Forest","Bacteria","Actinobacteria_phylum","Actinobacteria","Corynebacteriales","Corynebacteriaceae",0.125075612795165
"Season","Forest","Bacteria","Actinobacteria_phylum","Thermoleophilia","Solirubrobacterales","Conexibacteraceae",0.0499735200911867
"Season","Forest","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",0.0801309907739634
"Season","Forest","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",0.041698623911112
"Season","Forest","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",0.152065255336721
"Season","Forest","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",0.108404266805989
"Season","Forest","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae",0.0634596447847871
"Season","Forest","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",0.122890399855662
"Season","Forest","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",0.0875650843195181
"Season","Forest","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",0.168736601325897
